time,close,VWAP,Volume,Volume MA,K,D,RSI
2022-12-10T00:15:00+01:00,0.9097,0.921555776,25694,116968.8,79.03269925,86.21472364,44.91392325
2022-12-10T00:20:00+01:00,0.9092,0.921546222,48609,113285.8,67.15920261,76.6424114,41.14794873
2022-12-10T00:25:00+01:00,0.91,0.921527056,101607,110574.55,79.30000961,75.16397049,48.57737525
2022-12-10T00:30:00+01:00,0.9099,0.921503649,128176,111446,81.95436317,76.13785846,47.76565915
2022-12-10T00:35:00+01:00,0.9088,0.921476046,140722,108290.55,71.3563155,77.53689609,39.87295378
2022-12-10T00:40:00+01:00,0.9088,0.921458027,90724,108647.75,38.02298216,63.77788694,39.87295378
2022-12-10T00:45:00+01:00,0.9088,0.921429077,141037,106830.85,6.737928358,38.70574201,39.87295378
2022-12-10T00:50:00+01:00,0.9081,0.921409493,94785,108182.25,4.38E-14,14.92030351,35.24426501
2022-12-10T00:55:00+01:00,0.9092,0.921382715,134902,108098.1,26.58206587,11.10666474,45.87691345
2022-12-10T01:00:00+01:00,0.9093,0.909333333,155680,113944.25,55.30484852,27.29563813,46.73318584
2022-12-10T01:05:00+01:00,0.9077,0.908451612,390392,118763.95,59.00038661,46.96243366,36.72245551
2022-12-10T01:10:00+01:00,0.9075,0.908291585,94480,121467.05,33.54069223,49.28197578,35.6932061
2022-12-10T01:15:00+01:00,0.9062,0.907687942,435462,136333.2,4.817909574,32.45299614,29.83896379
2022-12-10T01:20:00+01:00,0.9057,0.907266042,332325,136050.25,1.122371488,13.16032443,27.94079336
2022-12-10T01:25:00+01:00,0.9043,0.905644432,1309180,200097.4,8.59E-15,1.980093687,23.44380051
2022-12-10T01:30:00+01:00,0.9022,0.905246321,461095,221761.1,8.59E-15,0.374123829,18.60631413
2022-12-10T01:35:00+01:00,0.9021,0.905083822,173107,225694.95,8.59E-15,6.34E-15,18.41148852
2022-12-10T01:40:00+01:00,0.9042,0.904816761,663002,252921.7,18.38557155,6.12852385,34.03280629
2022-12-10T01:45:00+01:00,0.9048,0.90479934,131295,254941.45,41.09063654,19.8254027,37.70286787
2022-12-10T01:50:00+01:00,0.9031,0.904731054,265990,265913.2,57.35599766,38.94406858,32.23136756
2022-12-10T01:55:00+01:00,0.9042,0.904693399,193163,274286.65,62.56085888,53.66916436,38.45512141
2022-12-10T02:00:00+01:00,0.905,0.90469381,305223,287117.35,68.30683837,62.74123164,42.58494462
2022-12-10T02:05:00+01:00,0.9051,0.904695628,37559,283914.95,81.09746423,70.65505383,43.09893458
2022-12-10T02:10:00+01:00,0.9052,0.904702405,72227,281117.5,90.84036479,80.0815558,43.64226877
2022-12-10T02:15:00+01:00,0.9049,0.904705419,51370,276649.9,93.99716321,88.64499741,42.33620466
2022-12-10T02:20:00+01:00,0.9058,0.904716809,73754,275801.4,98.27450956,94.37067919,47.41995342
2022-12-10T02:25:00+01:00,0.9063,0.904845138,453851,291442.1,98.27450956,96.84872744,50.05440502
2022-12-10T02:30:00+01:00,0.9051,0.904876329,230708,298238.25,93.95461426,96.83454446,44.31559593
2022-12-10T02:35:00+01:00,0.9054,0.904879288,48725,293929.4,89.66568362,93.96493581,45.9829768
2022-12-10T02:40:00+01:00,0.9041,0.904869859,149878,293639.3,79.43789267,87.68606351,40.34529097
2022-12-10T02:45:00+01:00,0.9031,0.904837315,136497,280944.55,60.36787384,76.49048338,36.62542112
2022-12-10T02:50:00+01:00,0.9032,0.904782292,190324,285736.75,40.70670786,60.17082479,37.24850094
2022-12-10T02:55:00+01:00,0.9033,0.904771808,42390,266083.15,28.21399206,43.09619126,37.90595173
2022-12-10T03:00:00+01:00,0.9032,0.904727564,207996,259866.7,22.1248178,30.34850591,37.48303142
2022-12-10T03:05:00+01:00,0.903,0.904707898,82503,198532.85,12.74158109,21.02679699,36.60342669
2022-12-10T03:10:00+01:00,0.9031,0.904695295,51755,178065.85,4.089155245,12.98518471,37.39450593
2022-12-10T03:15:00+01:00,0.9035,0.904677011,110985,174959.75,11.83482919,9.555188508,40.58804838
2022-12-10T03:20:00+01:00,0.9033,0.904663745,68312,145225.25,19.02038646,11.64812363,39.50300995
2022-12-10T03:25:00+01:00,0.9036,0.90465288,63379,141829.45,30.4516694,20.43562835,42.0073641
2022-12-10T03:30:00+01:00,0.9042,0.904644399,76140,132336.95,45.73365977,31.73523855,46.75478002
2022-12-10T03:35:00+01:00,0.9039,0.904636617,81994,126778.5,65.39977551,47.1950349,44.7808513
2022-12-10T03:40:00+01:00,0.9033,0.904626304,65385,114786.6,66.60318467,59.24553999,41.04822502
2022-12-10T03:45:00+01:00,0.9042,0.904622695,39643,114890.8,74.78009919,68.92768646,48.04397136
2022-12-10T03:50:00+01:00,0.9042,0.90461927,77738,115166.35,81.2617595,74.21501445,48.04397136
2022-12-10T03:55:00+01:00,0.9043,0.904617446,88561,117025.9,100,85.34728623,48.82651581
2022-12-10T04:00:00+01:00,0.9036,0.904608376,90646,117870.5,86.42303292,89.22826414,43.84794145
